subject,predicate,object,subject_type,predicate_type,object_type
U0067,WORKS_IN,D003,Person,REPORTS_TO,Department
U0067,REPORTS_TO,U0001,Person,FOLLOWS,Person
U0068,WORKS_IN,D006,Person,FOLLOWS,Department
U0068,REPORTS_TO,U0041,Person,BELONGS_TO,Person
U0069,WORKS_IN,D001,Person,MEMBER_OF,Department
U0069,REPORTS_TO,U0058,Person,FOLLOWS,Person
U0070,WORKS_IN,D002,Person,BELONGS_TO,Department
U0070,REPORTS_TO,U0061,Person,RELATED_TO,Person
U0071,WORKS_IN,D003,Person,REPORTS_TO,Department
U0071,REPORTS_TO,U0010,Person,PART_OF,Person
U0072,WORKS_IN,D007,Person,SPONSORS,Department
U0072,REPORTS_TO,U0069,Person,WORKS_IN,Person
U0073,WORKS_IN,D001,Person,FOLLOWS,Department
U0073,REPORTS_TO,U0007,Person,AUTHORED_BY,Person
U0074,WORKS_IN,D002,Person,MANAGES,Department
U0074,REPORTS_TO,U0033,Person,REPORTS_TO,Person
U0075,WORKS_IN,D003,Person,MANAGES,Department
U0075,REPORTS_TO,U0038,Person,PART_OF,Person
U0076,WORKS_IN,D001,Person,BELONGS_TO,Department
U0076,REPORTS_TO,U0043,Person,PART_OF,Person
U0077,WORKS_IN,D003,Person,MEMBER_OF,Department
U0077,REPORTS_TO,U0067,Person,ASSIGNED_TO,Person
U0078,WORKS_IN,D001,Person,REPORTS_TO,Department
U0078,REPORTS_TO,U0036,Person,REPORTS_TO,Person
U0079,WORKS_IN,D002,Person,ASSIGNED_TO,Department
U0079,REPORTS_TO,U0043,Person,PART_OF,Person
U0080,WORKS_IN,D004,Person,ASSIGNED_TO,Department
U0080,REPORTS_TO,U0026,Person,FOLLOWS,Person
U0081,WORKS_IN,D008,Person,WORKS_IN,Department
U0081,REPORTS_TO,U0017,Person,BELONGS_TO,Person
U0082,WORKS_IN,D001,Person,DEPENDS_ON,Department
U0082,REPORTS_TO,U0078,Person,AUTHORED_BY,Person
U0083,WORKS_IN,D006,Person,MANAGES,Department
U0083,REPORTS_TO,U0082,Person,PART_OF,Person
U0084,WORKS_IN,D004,Person,DEPENDS_ON,Department
U0084,REPORTS_TO,U0051,Person,WORKS_IN,Person
U0085,WORKS_IN,D005,Person,SPONSORS,Department
U0085,REPORTS_TO,U0073,Person,SPONSORS,Person
U0086,WORKS_IN,D002,Person,REFERENCES,Department
U0086,REPORTS_TO,U0037,Person,BELONGS_TO,Person
U0087,WORKS_IN,D003,Person,BELONGS_TO,Department
U0087,REPORTS_TO,U0018,Person,RELATED_TO,Person
U0088,WORKS_IN,D008,Person,BELONGS_TO,Department
U0088,REPORTS_TO,U0065,Person,REPORTS_TO,Person
U0089,WORKS_IN,D008,Person,AUTHORED_BY,Department
U0089,REPORTS_TO,U0061,Person,DEPENDS_ON,Person
U0090,WORKS_IN,D007,Person,REPORTS_TO,Department
U0090,REPORTS_TO,U0061,Person,ASSIGNED_TO,Person
U0091,WORKS_IN,D008,Person,BELONGS_TO,Department
U0091,REPORTS_TO,U0082,Person,REPORTS_TO,Person
U0092,WORKS_IN,D008,Person,REFERENCES,Department
U0092,REPORTS_TO,U0054,Person,AUTHORED_BY,Person
U0093,WORKS_IN,D006,Person,REFERENCES,Department
U0093,REPORTS_TO,U0007,Person,AUTHORED_BY,Person
U0094,WORKS_IN,D002,Person,REPORTS_TO,Department
U0094,REPORTS_TO,U0077,Person,RELATED_TO,Person
U0095,WORKS_IN,D008,Person,FOLLOWS,Department
U0095,REPORTS_TO,U0055,Person,MANAGES,Person
U0096,WORKS_IN,D004,Person,BELONGS_TO,Department
U0096,REPORTS_TO,U0045,Person,SPONSORS,Person
U0097,WORKS_IN,D004,Person,MEMBER_OF,Department
U0097,REPORTS_TO,U0085,Person,DEPENDS_ON,Person
U0098,WORKS_IN,D006,Person,ASSIGNED_TO,Department
U0098,REPORTS_TO,U0074,Person,ASSIGNED_TO,Person
U0099,WORKS_IN,D002,Person,REPORTS_TO,Department
U0099,REPORTS_TO,U0033,Person,WORKS_IN,Person
U0100,WORKS_IN,D008,Person,REFERENCES,Department
U0100,REPORTS_TO,U0051,Person,SPONSORS,Person
U0101,WORKS_IN,D004,Person,ASSIGNED_TO,Department
U0101,REPORTS_TO,U0089,Person,ASSIGNED_TO,Person
U0102,WORKS_IN,D003,Person,REPORTS_TO,Department
U0102,REPORTS_TO,U0046,Person,MANAGES,Person
U0103,WORKS_IN,D007,Person,SPONSORS,Department
U0103,REPORTS_TO,U0071,Person,DEPENDS_ON,Person
U0104,WORKS_IN,D003,Person,AUTHORED_BY,Department
U0104,REPORTS_TO,U0027,Person,RELATED_TO,Person
U0105,WORKS_IN,D002,Person,BELONGS_TO,Department
U0105,REPORTS_TO,U0001,Person,PART_OF,Person
U0106,WORKS_IN,D006,Person,FOLLOWS,Department
U0106,REPORTS_TO,U0002,Person,AUTHORED_BY,Person
U0107,WORKS_IN,D003,Person,WORKS_IN,Department
U0107,REPORTS_TO,U0014,Person,RELATED_TO,Person
U0108,WORKS_IN,D006,Person,BELONGS_TO,Department
U0108,REPORTS_TO,U0055,Person,FOLLOWS,Person
U0109,WORKS_IN,D004,Person,DEPENDS_ON,Department
U0109,REPORTS_TO,U0073,Person,AUTHORED_BY,Person
U0110,WORKS_IN,D008,Person,BELONGS_TO,Department
U0110,REPORTS_TO,U0005,Person,RELATED_TO,Person
U0111,WORKS_IN,D002,Person,WORKS_IN,Department
U0111,REPORTS_TO,U0094,Person,MANAGES,Person
U0112,WORKS_IN,D004,Person,FOLLOWS,Department
U0112,REPORTS_TO,U0096,Person,SPONSORS,Person
U0113,WORKS_IN,D007,Person,WORKS_IN,Department
U0113,REPORTS_TO,U0045,Person,RELATED_TO,Person
U0114,WORKS_IN,D008,Person,FOLLOWS,Department
U0114,REPORTS_TO,U0098,Person,RELATED_TO,Person
U0115,WORKS_IN,D004,Person,MANAGES,Department
U0115,REPORTS_TO,U0060,Person,REPORTS_TO,Person
U0116,WORKS_IN,D005,Person,AUTHORED_BY,Department
U0116,REPORTS_TO,U0014,Person,PART_OF,Person
U0117,WORKS_IN,D008,Person,SPONSORS,Department
U0117,REPORTS_TO,U0004,Person,MANAGES,Person
U0118,WORKS_IN,D002,Person,SPONSORS,Department
U0118,REPORTS_TO,U0009,Person,WORKS_IN,Person
U0119,WORKS_IN,D007,Person,ASSIGNED_TO,Department
U0119,REPORTS_TO,U0106,Person,WORKS_IN,Person
U0120,WORKS_IN,D003,Person,REPORTS_TO,Department
U0120,REPORTS_TO,U0034,Person,ASSIGNED_TO,Person
U0121,WORKS_IN,D006,Person,REFERENCES,Department
U0121,REPORTS_TO,U0048,Person,FOLLOWS,Person
U0122,WORKS_IN,D008,Person,WORKS_IN,Department
U0122,REPORTS_TO,U0026,Person,MANAGES,Person
U0123,WORKS_IN,D003,Person,ASSIGNED_TO,Department
U0123,REPORTS_TO,U0090,Person,RELATED_TO,Person
U0124,WORKS_IN,D007,Person,ASSIGNED_TO,Department
U0124,REPORTS_TO,U0048,Person,DEPENDS_ON,Person
U0125,WORKS_IN,D001,Person,DEPENDS_ON,Department
U0125,REPORTS_TO,U0102,Person,WORKS_IN,Person
U0126,WORKS_IN,D002,Person,WORKS_IN,Department
U0126,REPORTS_TO,U0106,Person,BELONGS_TO,Person
U0127,WORKS_IN,D003,Person,MANAGES,Department
U0127,REPORTS_TO,U0040,Person,MANAGES,Person
U0128,WORKS_IN,D001,Person,AUTHORED_BY,Department
U0128,REPORTS_TO,U0099,Person,BELONGS_TO,Person
U0129,WORKS_IN,D002,Person,MEMBER_OF,Department
U0129,REPORTS_TO,U0075,Person,AUTHORED_BY,Person
U0130,WORKS_IN,D004,Person,PART_OF,Department
U0130,REPORTS_TO,U0060,Person,ASSIGNED_TO,Person
U0131,WORKS_IN,D005,Person,SPONSORS,Department
U0131,REPORTS_TO,U0107,Person,WORKS_IN,Person
U0132,WORKS_IN,D007,Person,PART_OF,Department
U0132,REPORTS_TO,U0090,Person,BELONGS_TO,Person
U0133,WORKS_IN,D008,Person,FOLLOWS,Department
U0133,REPORTS_TO,U0100,Person,REPORTS_TO,Person
U0134,WORKS_IN,D003,Person,REFERENCES,Department
U0134,REPORTS_TO,U0043,Person,REFERENCES,Person
U0135,WORKS_IN,D007,Person,FOLLOWS,Department
U0135,REPORTS_TO,U0129,Person,BELONGS_TO,Person
U0136,WORKS_IN,D007,Person,REPORTS_TO,Department
U0136,REPORTS_TO,U0107,Person,ASSIGNED_TO,Person
U0137,WORKS_IN,D005,Person,PART_OF,Department
U0137,REPORTS_TO,U0019,Person,REFERENCES,Person
U0138,WORKS_IN,D003,Person,AUTHORED_BY,Department
U0138,REPORTS_TO,U0026,Person,REPORTS_TO,Person
U0139,WORKS_IN,D004,Person,PART_OF,Department
U0139,REPORTS_TO,U0072,Person,WORKS_IN,Person
U0140,WORKS_IN,D006,Person,DEPENDS_ON,Department
U0140,REPORTS_TO,U0074,Person,ASSIGNED_TO,Person
U0141,WORKS_IN,D003,Person,REPORTS_TO,Department
U0141,REPORTS_TO,U0086,Person,PART_OF,Person
U0142,WORKS_IN,D006,Person,RELATED_TO,Department
U0142,REPORTS_TO,U0131,Person,AUTHORED_BY,Person
U0143,WORKS_IN,D003,Person,WORKS_IN,Department
U0143,REPORTS_TO,U0122,Person,REPORTS_TO,Person
U0144,WORKS_IN,D003,Person,RELATED_TO,Department
U0144,REPORTS_TO,U0040,Person,RELATED_TO,Person
U0145,WORKS_IN,D002,Person,MANAGES,Department
U0145,REPORTS_TO,U0061,Person,MANAGES,Person
U0146,WORKS_IN,D004,Person,BELONGS_TO,Department
U0146,REPORTS_TO,U0065,Person,REFERENCES,Person
U0147,WORKS_IN,D002,Person,WORKS_IN,Department
U0147,REPORTS_TO,U0028,Person,SPONSORS,Person
U0148,WORKS_IN,D003,Person,DEPENDS_ON,Department
U0148,REPORTS_TO,U0088,Person,RELATED_TO,Person
U0149,WORKS_IN,D002,Person,SPONSORS,Department
U0149,REPORTS_TO,U0029,Person,REPORTS_TO,Person
U0150,WORKS_IN,D003,Person,FOLLOWS,Department
U0150,REPORTS_TO,U0122,Person,MEMBER_OF,Person
U0104,MEMBER_OF,PRJ001,Person,REFERENCES,Project
U0043,MEMBER_OF,PRJ001,Person,REPORTS_TO,Project
U0126,MEMBER_OF,PRJ001,Person,FOLLOWS,Project
U0029,MEMBER_OF,PRJ001,Person,AUTHORED_BY,Project
U0086,MEMBER_OF,PRJ001,Person,DEPENDS_ON,Project
U0069,MEMBER_OF,PRJ001,Person,FOLLOWS,Project
U0038,MEMBER_OF,PRJ001,Person,FOLLOWS,Project
U0032,MEMBER_OF,PRJ001,Person,BELONGS_TO,Project
U0011,MEMBER_OF,PRJ001,Person,DEPENDS_ON,Project
U0016,MEMBER_OF,PRJ001,Person,DEPENDS_ON,Project
U0015,SPONSORS,PRJ001,Person,REPORTS_TO,Project
U0079,MANAGES,PRJ001,Person,FOLLOWS,Project
U0020,MEMBER_OF,PRJ002,Person,SPONSORS,Project
U0006,MEMBER_OF,PRJ002,Person,RELATED_TO,Project
U0059,MEMBER_OF,PRJ002,Person,MANAGES,Project
U0095,MEMBER_OF,PRJ002,Person,REFERENCES,Project
U0036,MEMBER_OF,PRJ002,Person,AUTHORED_BY,Project
U0015,SPONSORS,PRJ002,Person,SPONSORS,Project
U0021,MANAGES,PRJ002,Person,ASSIGNED_TO,Project
U0065,MEMBER_OF,PRJ003,Person,PART_OF,Project
U0119,MEMBER_OF,PRJ003,Person,BELONGS_TO,Project
U0058,MEMBER_OF,PRJ003,Person,AUTHORED_BY,Project
U0056,MEMBER_OF,PRJ003,Person,REFERENCES,Project
U0001,MEMBER_OF,PRJ003,Person,SPONSORS,Project
U0009,MEMBER_OF,PRJ003,Person,AUTHORED_BY,Project
U0012,MEMBER_OF,PRJ003,Person,REFERENCES,Project
U0020,MEMBER_OF,PRJ003,Person,FOLLOWS,Project
U0082,MEMBER_OF,PRJ003,Person,MANAGES,Project
U0015,SPONSORS,PRJ003,Person,RELATED_TO,Project
U0055,MANAGES,PRJ003,Person,AUTHORED_BY,Project
U0075,MEMBER_OF,PRJ004,Person,SPONSORS,Project
U0111,MEMBER_OF,PRJ004,Person,WORKS_IN,Project
U0078,MEMBER_OF,PRJ004,Person,REFERENCES,Project
U0117,MEMBER_OF,PRJ004,Person,REFERENCES,Project
U0133,MEMBER_OF,PRJ004,Person,BELONGS_TO,Project
U0119,MEMBER_OF,PRJ004,Person,FOLLOWS,Project
U0085,MEMBER_OF,PRJ004,Person,FOLLOWS,Project
U0094,MEMBER_OF,PRJ004,Person,ASSIGNED_TO,Project
U0015,SPONSORS,PRJ004,Person,REFERENCES,Project
U0040,MANAGES,PRJ004,Person,RELATED_TO,Project
U0056,MEMBER_OF,PRJ005,Person,PART_OF,Project
U0105,MEMBER_OF,PRJ005,Person,MANAGES,Project
U0045,MEMBER_OF,PRJ005,Person,FOLLOWS,Project
U0032,MEMBER_OF,PRJ005,Person,AUTHORED_BY,Project
U0106,MEMBER_OF,PRJ005,Person,WORKS_IN,Project
U0119,MEMBER_OF,PRJ005,Person,SPONSORS,Project
U0112,MEMBER_OF,PRJ005,Person,FOLLOWS,Project
U0068,MEMBER_OF,PRJ005,Person,FOLLOWS,Project
U0099,MEMBER_OF,PRJ005,Person,REPORTS_TO,Project
U0015,SPONSORS,PRJ005,Person,WORKS_IN,Project
U0040,MANAGES,PRJ005,Person,MANAGES,Project
U0066,MEMBER_OF,PRJ006,Person,DEPENDS_ON,Project
U0124,MEMBER_OF,PRJ006,Person,BELONGS_TO,Project
U0005,MEMBER_OF,PRJ006,Person,MEMBER_OF,Project
U0034,MEMBER_OF,PRJ006,Person,MANAGES,Project
U0041,MEMBER_OF,PRJ006,Person,REFERENCES,Project
U0015,SPONSORS,PRJ006,Person,PART_OF,Project
U0073,MANAGES,PRJ006,Person,BELONGS_TO,Project
U0050,MEMBER_OF,PRJ007,Person,SPONSORS,Project
U0079,MEMBER_OF,PRJ007,Person,MANAGES,Project
U0110,MEMBER_OF,PRJ007,Person,REPORTS_TO,Project
U0130,MEMBER_OF,PRJ007,Person,RELATED_TO,Project
U0035,MEMBER_OF,PRJ007,Person,SPONSORS,Project
U0109,MEMBER_OF,PRJ007,Person,RELATED_TO,Project
U0136,MEMBER_OF,PRJ007,Person,REFERENCES,Project
U0148,MEMBER_OF,PRJ007,Person,REPORTS_TO,Project
U0107,MEMBER_OF,PRJ007,Person,ASSIGNED_TO,Project
U0058,MEMBER_OF,PRJ007,Person,BELONGS_TO,Project
U0015,SPONSORS,PRJ007,Person,AUTHORED_BY,Project
U0059,MANAGES,PRJ007,Person,BELONGS_TO,Project
U0030,MEMBER_OF,PRJ008,Person,MEMBER_OF,Project
U0079,MEMBER_OF,PRJ008,Person,DEPENDS_ON,Project
U0071,MEMBER_OF,PRJ008,Person,MANAGES,Project
U0123,MEMBER_OF,PRJ008,Person,ASSIGNED_TO,Project
U0112,MEMBER_OF,PRJ008,Person,SPONSORS,Project
U0015,SPONSORS,PRJ008,Person,PART_OF,Project
U0024,MANAGES,PRJ008,Person,ASSIGNED_TO,Project
U0109,MEMBER_OF,PRJ009,Person,WORKS_IN,Project
U0019,MEMBER_OF,PRJ009,Person,MEMBER_OF,Project
U0068,MEMBER_OF,PRJ009,Person,FOLLOWS,Project
U0085,MEMBER_OF,PRJ009,Person,REPORTS_TO,Project
U0015,SPONSORS,PRJ009,Person,SPONSORS,Project
U0047,MANAGES,PRJ009,Person,ASSIGNED_TO,Project
U0118,MEMBER_OF,PRJ010,Person,SPONSORS,Project
U0130,MEMBER_OF,PRJ010,Person,WORKS_IN,Project
U0150,MEMBER_OF,PRJ010,Person,REPORTS_TO,Project
U0098,MEMBER_OF,PRJ010,Person,MEMBER_OF,Project
U0091,MEMBER_OF,PRJ010,Person,PART_OF,Project
U0062,MEMBER_OF,PRJ010,Person,MANAGES,Project
U0033,MEMBER_OF,PRJ010,Person,PART_OF,Project
U0015,SPONSORS,PRJ010,Person,FOLLOWS,Project
U0025,MANAGES,PRJ010,Person,PART_OF,Project
U0038,MEMBER_OF,PRJ011,Person,BELONGS_TO,Project
U0006,MEMBER_OF,PRJ011,Person,REFERENCES,Project
U0052,MEMBER_OF,PRJ011,Person,FOLLOWS,Project
U0136,MEMBER_OF,PRJ011,Person,FOLLOWS,Project
U0146,MEMBER_OF,PRJ011,Person,RELATED_TO,Project
U0030,MEMBER_OF,PRJ011,Person,RELATED_TO,Project
U0060,MEMBER_OF,PRJ011,Person,REPORTS_TO,Project
U0015,SPONSORS,PRJ011,Person,BELONGS_TO,Project
U0062,MANAGES,PRJ011,Person,REFERENCES,Project
U0027,MEMBER_OF,PRJ012,Person,FOLLOWS,Project
U0034,MEMBER_OF,PRJ012,Person,DEPENDS_ON,Project
U0064,MEMBER_OF,PRJ012,Person,SPONSORS,Project
U0046,MEMBER_OF,PRJ012,Person,WORKS_IN,Project
U0015,SPONSORS,PRJ012,Person,MANAGES,Project
U0068,MANAGES,PRJ012,Person,FOLLOWS,Project
U0070,MEMBER_OF,PRJ013,Person,ASSIGNED_TO,Project
U0111,MEMBER_OF,PRJ013,Person,REPORTS_TO,Project
U0095,MEMBER_OF,PRJ013,Person,ASSIGNED_TO,Project
U0021,MEMBER_OF,PRJ013,Person,SPONSORS,Project
U0107,MEMBER_OF,PRJ013,Person,PART_OF,Project
U0034,MEMBER_OF,PRJ013,Person,ASSIGNED_TO,Project
U0015,SPONSORS,PRJ013,Person,PART_OF,Project
U0030,MANAGES,PRJ013,Person,MANAGES,Project
U0036,MEMBER_OF,PRJ014,Person,PART_OF,Project
U0067,MEMBER_OF,PRJ014,Person,FOLLOWS,Project
U0147,MEMBER_OF,PRJ014,Person,REFERENCES,Project
U0001,MEMBER_OF,PRJ014,Person,SPONSORS,Project
U0064,MEMBER_OF,PRJ014,Person,MEMBER_OF,Project
U0049,MEMBER_OF,PRJ014,Person,FOLLOWS,Project
U0107,MEMBER_OF,PRJ014,Person,MEMBER_OF,Project
U0015,SPONSORS,PRJ014,Person,ASSIGNED_TO,Project
U0058,MANAGES,PRJ014,Person,FOLLOWS,Project
U0042,MEMBER_OF,PRJ015,Person,MEMBER_OF,Project
U0069,MEMBER_OF,PRJ015,Person,ASSIGNED_TO,Project
U0051,MEMBER_OF,PRJ015,Person,PART_OF,Project
U0052,MEMBER_OF,PRJ015,Person,REFERENCES,Project
U0015,SPONSORS,PRJ015,Person,MEMBER_OF,Project
U0026,MANAGES,PRJ015,Person,MEMBER_OF,Project
U0126,MEMBER_OF,PRJ016,Person,AUTHORED_BY,Project
U0069,MEMBER_OF,PRJ016,Person,BELONGS_TO,Project
U0048,MEMBER_OF,PRJ016,Person,AUTHORED_BY,Project
U0078,MEMBER_OF,PRJ016,Person,BELONGS_TO,Project
U0122,MEMBER_OF,PRJ016,Person,AUTHORED_BY,Project
U0147,MEMBER_OF,PRJ016,Person,WORKS_IN,Project
U0127,MEMBER_OF,PRJ016,Person,ASSIGNED_TO,Project
U0123,MEMBER_OF,PRJ016,Person,PART_OF,Project
U0038,MEMBER_OF,PRJ016,Person,RELATED_TO,Project
U0015,MEMBER_OF,PRJ016,Person,MEMBER_OF,Project
U0015,SPONSORS,PRJ016,Person,WORKS_IN,Project
U0063,MANAGES,PRJ016,Person,DEPENDS_ON,Project
U0046,MEMBER_OF,PRJ017,Person,PART_OF,Project
U0082,MEMBER_OF,PRJ017,Person,RELATED_TO,Project
U0095,MEMBER_OF,PRJ017,Person,ASSIGNED_TO,Project
U0139,MEMBER_OF,PRJ017,Person,RELATED_TO,Project
U0149,MEMBER_OF,PRJ017,Person,MEMBER_OF,Project
U0127,MEMBER_OF,PRJ017,Person,REPORTS_TO,Project
U0043,MEMBER_OF,PRJ017,Person,RELATED_TO,Project
U0143,MEMBER_OF,PRJ017,Person,MANAGES,Project
U0072,MEMBER_OF,PRJ017,Person,REFERENCES,Project
U0074,MEMBER_OF,PRJ017,Person,REPORTS_TO,Project
U0015,SPONSORS,PRJ017,Person,REFERENCES,Project
U0016,MANAGES,PRJ017,Person,REPORTS_TO,Project
U0131,MEMBER_OF,PRJ018,Person,REFERENCES,Project
U0118,MEMBER_OF,PRJ018,Person,REFERENCES,Project
U0062,MEMBER_OF,PRJ018,Person,SPONSORS,Project
U0041,MEMBER_OF,PRJ018,Person,MEMBER_OF,Project
U0049,MEMBER_OF,PRJ018,Person,ASSIGNED_TO,Project
U0094,MEMBER_OF,PRJ018,Person,AUTHORED_BY,Project
U0015,SPONSORS,PRJ018,Person,WORKS_IN,Project
U0045,MANAGES,PRJ018,Person,SPONSORS,Project
U0049,MEMBER_OF,PRJ019,Person,DEPENDS_ON,Project
U0054,MEMBER_OF,PRJ019,Person,REFERENCES,Project
U0079,MEMBER_OF,PRJ019,Person,PART_OF,Project
U0050,MEMBER_OF,PRJ019,Person,SPONSORS,Project
U0027,MEMBER_OF,PRJ019,Person,ASSIGNED_TO,Project
